,Tin Oxide,Titania,Tungsten Oxide,Indium Oxide,T
0,1360.0,1046.0,1056.0,1268.0,13.6
1,1292.0,955.0,1174.0,972.0,13.3
2,1402.0,939.0,1140.0,1074.0,11.9
3,1376.0,948.0,1092.0,1203.0,11.0
4,1272.0,836.0,1205.0,1110.0,11.2
5,1197.0,750.0,1337.0,949.0,11.2
6,1185.0,690.0,1462.0,733.0,11.3
7,1136.0,672.0,1453.0,730.0,10.7
8,1094.0,609.0,1579.0,620.0,10.7
9,1010.0,561.0,1705.0,501.0,10.3
10,1011.0,527.0,1818.0,445.0,10.1
11,1066.0,512.0,1918.0,422.0,11.0
12,1052.0,553.0,1738.0,472.0,10.5
13,1144.0,667.0,1490.0,730.0,10.2
14,1333.0,900.0,1136.0,1102.0,10.8
15,1351.0,960.0,1079.0,1028.0,10.5
16,1233.0,827.0,1218.0,860.0,10.8
17,1179.0,762.0,1328.0,671.0,10.5
18,1236.0,774.0,1301.0,664.0,9.5
19,1286.0,869.0,1162.0,799.0,8.3
20,1371.0,1034.0,983.0,1037.0,8.0
21,1310.0,933.0,1082.0,946.0,8.3
22,1292.0,912.0,1103.0,957.0,9.7
23,1383.0,1020.0,1008.0,1104.0,9.8
24,1581.0,1319.0,799.0,1409.0,10.3
25,1776.0,1488.0,702.0,1704.0,9.7
26,1640.0,1404.0,743.0,1654.0,9.6
27,1313.0,1076.0,957.0,1285.0,9.1
28,965.0,749.0,1325.0,821.0,8.2
29,913.0,629.0,1565.0,552.0,8.2
30,1080.0,805.0,1254.0,816.0,8.3
31,1044.0,829.0,1247.0,832.0,7.7
32,988.0,718.0,1396.0,692.0,7.1
33,889.0,574.0,1680.0,512.0,7.0
34,831.0,506.0,1893.0,384.0,6.1
35,847.0,501.0,1895.0,394.0,6.3
36,927.0,571.0,1685.0,487.0,6.8
37,1091.0,730.0,1387.0,748.0,6.4
38,1587.0,1236.0,897.0,1400.0,7.3
39,1545.0,1353.0,767.0,1588.0,9.2
40,1350.0,1118.0,912.0,1237.0,13.2
41,1263.0,1037.0,969.0,1167.0,14.3
42,1206.0,986.0,1035.0,959.0,15.0
43,1252.0,1016.0,1008.0,983.0,16.1
44,1287.0,1078.0,949.0,1061.0,16.3
45,1353.0,1122.0,922.0,1139.0,15.8
46,1309.0,1073.0,954.0,1112.0,15.9
47,1274.0,1041.0,1006.0,994.0,16.9
48,1510.0,1277.0,812.0,1410.0,15.1
49,1525.0,1246.0,821.0,1448.0,14.4
50,1843.0,1610.0,624.0,1887.0,12.9
51,1598.0,1299.0,752.0,1627.0,12.1
52,1484.0,1127.0,839.0,1491.0,11.0
53,1677.0,1346.0,741.0,1657.0,9.7
54,1280.0,964.0,963.0,1285.0,9.5
55,1196.0,873.0,1071.0,1144.0,9.1
56,1184.0,782.0,1176.0,1043.0,8.8
57,1172.0,783.0,1179.0,996.0,7.8
58,1147.0,821.0,1132.0,992.0,7.0
59,978.0,625.0,1420.0,819.0,8.3
60,1100.0,646.0,1406.0,835.0,7.2
61,1112.0,770.0,1228.0,940.0,6.3
62,1336.0,1043.0,935.0,1192.0,6.5
63,1408.0,1153.0,830.0,1411.0,9.6
64,1447.0,1081.0,869.0,1465.0,12.4
65,1542.0,1184.0,808.0,1583.0,15.6
66,1451.0,1117.0,875.0,1387.0,18.4
67,1328.0,1059.0,987.0,1101.0,19.4
68,1207.0,924.0,1088.0,850.0,18.0
69,1240.0,947.0,1049.0,947.0,18.4
70,1306.0,987.0,1004.0,1078.0,17.6
71,1326.0,1000.0,976.0,1084.0,16.7
72,1473.0,1163.0,831.0,1395.0,16.1
73,1609.0,1286.0,758.0,1612.0,15.8
74,1611.0,1274.0,754.0,1697.0,15.7
75,1621.0,1247.0,762.0,1886.0,15.3
76,1444.0,1089.0,844.0,1624.0,14.6
77,1418.0,1010.0,892.0,1536.0,14.7
78,1534.0,1013.0,889.0,1535.0,13.9
79,1484.0,1045.0,880.0,1530.0,14.6
80,1367.0,925.0,953.0,1337.0,12.5
81,1344.0,968.0,921.0,1278.0,11.6
82,1130.0,773.0,1130.0,1051.0,12.1
83,1062.0,691.0,1272.0,929.0,11.5
84,1076.0,618.0,1395.0,872.0,11.6
85,1028.0,615.0,1384.0,853.0,10.4
86,1155.0,722.0,1225.0,959.0,11.6
87,1235.0,828.0,1055.0,1093.0,12.4
88,1332.0,923.0,952.0,1225.0,14.5
89,1445.0,1009.0,878.0,1355.0,16.9
90,1416.0,1002.0,907.0,1262.0,19.3
91,1281.0,880.0,1084.0,980.0,21.2
92,1207.0,879.0,1104.0,872.0,21.4
93,1258.0,906.0,1081.0,900.0,21.9
94,1458.0,1045.0,974.0,1099.0,22.2
