,Tin Oxide,Titania,Tungsten Oxide,Indium Oxide,T
0,1360,1046,1056,1268,13.6
1,1292,955,1174,972,13.3
2,1402,939,1140,1074,11.9
3,1376,948,1092,1203,11
4,1272,836,1205,1110,11.2
5,1197,750,1337,949,11.2
6,1185,690,1462,733,11.3
7,1136,672,1453,730,10.7
8,1094,609,1579,620,10.7
9,1010,561,1705,501,10.3
10,1011,527,1818,445,10.1
11,1066,512,1918,422,11
12,1052,553,1738,472,10.5
13,1144,667,1490,730,10.2
14,1333,900,1136,1102,10.8
15,1351,960,1079,1028,10.5
16,1233,827,1218,860,10.8
17,1179,762,1328,671,10.5
18,1236,774,1301,664,9.5
19,1286,869,1162,799,8.3
20,1371,1034,983,1037,8
21,1310,933,1082,946,8.3
22,1292,912,1103,957,9.7
23,1383,1020,1008,1104,9.8
24,1581,1319,799,1409,10.3
25,1776,1488,702,1704,9.7
26,1640,1404,743,1654,9.6
27,1313,1076,957,1285,9.1
28,965,749,1325,821,8.2
29,913,629,1565,552,8.2
30,1080,805,1254,816,8.3
31,1044,829,1247,832,7.7
32,988,718,1396,692,7.1
33,889,574,1680,512,7
34,831,506,1893,384,6.1
35,847,501,1895,394,6.3
36,927,571,1685,487,6.8
37,1091,730,1387,748,6.4
38,1587,1236,897,1400,7.3
39,1545,1353,767,1588,9.2
40,1350,1118,912,1237,13.2
41,1263,1037,969,1167,14.3
42,1206,986,1035,959,15
43,1252,1016,1008,983,16.1
44,1287,1078,949,1061,16.3
45,1353,1122,922,1139,15.8
46,1309,1073,954,1112,15.9
47,1274,1041,1006,994,16.9
48,1510,1277,812,1410,15.1
49,1525,1246,821,1448,14.4
50,1843,1610,624,1887,12.9
51,1598,1299,752,1627,12.1
52,1484,1127,839,1491,11
53,1677,1346,741,1657,9.7
54,1280,964,963,1285,9.5
55,1196,873,1071,1144,9.1
56,1184,782,1176,1043,8.8
57,1172,783,1179,996,7.8
58,1147,821,1132,992,7
59,978,625,1420,819,8.3
60,1100,646,1406,835,7.2
61,1112,770,1228,940,6.3
62,1336,1043,935,1192,6.5
63,1408,1153,830,1411,9.6
64,1447,1081,869,1465,12.4
65,1542,1184,808,1583,15.6
66,1451,1117,875,1387,18.4
67,1328,1059,987,1101,19.4
68,1207,924,1088,850,18
69,1240,947,1049,947,18.4
70,1306,987,1004,1078,17.6
71,1326,1000,976,1084,16.7
72,1473,1163,831,1395,16.1
73,1609,1286,758,1612,15.8
74,1611,1274,754,1697,15.7
75,1621,1247,762,1886,15.3
76,1444,1089,844,1624,14.6
77,1418,1010,892,1536,14.7
78,1534,1013,889,1535,13.9
79,1484,1045,880,1530,14.6
80,1367,925,953,1337,12.5
81,1344,968,921,1278,11.6
82,1130,773,1130,1051,12.1
83,1062,691,1272,929,11.5
84,1076,618,1395,872,11.6
85,1028,615,1384,853,10.4
86,1155,722,1225,959,11.6
87,1235,828,1055,1093,12.4
88,1332,923,952,1225,14.5
89,1445,1009,878,1355,16.9
90,1416,1002,907,1262,19.3
91,1281,880,1084,980,21.2
92,1207,879,1104,872,21.4
93,1258,906,1081,900,21.9
94,1458,1045,974,1099,22.2
95,1438,1051,943,1206,21.3
96,1478,1055,929,1262,19.7
97,1808,1312,753,1698,18.4
98,1898,1381,681,1905,17.6
99,1560,1140,784,1648,16.7
100,1324,940,924,1423,16.3
101,1349,933,933,1349,14.7
102,1239,872,985,1250,14.8
103,1239,853,1010,1174,14
104,1224,855,998,1149,13.4
105,1078,734,1128,1021,12.6
106,1078,711,1150,1013,12.3
107,1075,703,1156,1010,11.9
108,1157,830,1030,1083,11.4
109,1314,966,897,1235,11.3
110,1797,1451,652,1680,12.4
111,1961,1701,537,2184,14.8
112,1771,1470,622,1973,17.4
113,1564,1300,710,1798,19.8
114,1430,1120,831,1522,22
115,1417,1146,830,1404,23.3
116,1400,1162,838,1263,23.9
117,1317,1053,926,1137,24.4
118,1318,1033,950,1068,24.4
119,1445,1141,857,1252,23.8
120,1917,1601,631,1843,22.5
121,2040,1754,542,2122,20.4
122,1895,1573,565,1992,18.3
123,1595,1294,678,1707,16.7
124,1439,1159,764,1494,15.7
125,1142,852,1008,1164,15.3
126,1304,1019,852,1272,14.1
127,1074,784,1098,1040,14.8
128,968,640,1320,867,14.8
129,929,608,1376,826,13.6
