Temperature,Tin Oxide,Titania,Tungsten Oxide,Indium Oxide
13.6,1360,1046,1056,1268
13.3,1292,955,1174,972
11.9,1402,939,1140,1074
11,1376,948,1092,1203
11.2,1272,836,1205,1110
11.2,1197,750,1337,949
11.3,1185,690,1462,733
10.7,1136,672,1453,730
10.7,1094,609,1579,620
10.3,1010,561,1705,501
10.1,1011,527,1818,445
11,1066,512,1918,422
10.5,1052,553,1738,472
10.2,1144,667,1490,730
10.8,1333,900,1136,1102
10.5,1351,960,1079,1028
10.8,1233,827,1218,860
10.5,1179,762,1328,671
9.5,1236,774,1301,664
8.3,1286,869,1162,799
8,1371,1034,983,1037
8.3,1310,933,1082,946
9.7,1292,912,1103,957
9.8,1383,1020,1008,1104
10.3,1581,1319,799,1409
9.7,1776,1488,702,1704
9.6,1640,1404,743,1654
9.1,1313,1076,957,1285
8.2,965,749,1325,821
8.2,913,629,1565,552
8.3,1080,805,1254,816
7.7,1044,829,1247,832
7.1,988,718,1396,692
7,889,574,1680,512
6.1,831,506,1893,384
6.3,847,501,1895,394
6.8,927,571,1685,487
6.4,1091,730,1387,748
7.3,1587,1236,897,1400
9.2,1545,1353,767,1588
13.2,1350,1118,912,1237
14.3,1263,1037,969,1167
15,1206,986,1035,959
16.1,1252,1016,1008,983
16.3,1287,1078,949,1061
15.8,1353,1122,922,1139
15.9,1309,1073,954,1112
16.9,1274,1041,1006,994
15.1,1510,1277,812,1410
14.4,1525,1246,821,1448
12.9,1843,1610,624,1887
12.1,1598,1299,752,1627
11,1484,1127,839,1491
9.7,1677,1346,741,1657
9.5,1280,964,963,1285
9.1,1196,873,1071,1144
8.8,1184,782,1176,1043
7.8,1172,783,1179,996
7,1147,821,1132,992
8.3,978,625,1420,819
7.2,1100,646,1406,835
6.3,1112,770,1228,940
6.5,1336,1043,935,1192
9.6,1408,1153,830,1411
12.4,1447,1081,869,1465
15.6,1542,1184,808,1583
18.4,1451,1117,875,1387
19.4,1328,1059,987,1101
18,1207,924,1088,850
18.4,1240,947,1049,947
17.6,1306,987,1004,1078
16.7,1326,1000,976,1084
16.1,1473,1163,831,1395
15.8,1609,1286,758,1612
15.7,1611,1274,754,1697
15.3,1621,1247,762,1886
14.6,1444,1089,844,1624
14.7,1418,1010,892,1536
13.9,1534,1013,889,1535
14.6,1484,1045,880,1530
12.5,1367,925,953,1337
11.6,1344,968,921,1278
12.1,1130,773,1130,1051
11.5,1062,691,1272,929
11.6,1076,618,1395,872
10.4,1028,615,1384,853
11.6,1155,722,1225,959
12.4,1235,828,1055,1093
14.5,1332,923,952,1225
16.9,1445,1009,878,1355
19.3,1416,1002,907,1262
21.2,1281,880,1084,980
21.4,1207,879,1104,872
21.9,1258,906,1081,900
22.2,1458,1045,974,1099
21.3,1438,1051,943,1206
19.7,1478,1055,929,1262
18.4,1808,1312,753,1698
17.6,1898,1381,681,1905
16.7,1560,1140,784,1648
16.3,1324,940,924,1423
14.7,1349,933,933,1349
14.8,1239,872,985,1250
14,1239,853,1010,1174
13.4,1224,855,998,1149
12.6,1078,734,1128,1021
12.3,1078,711,1150,1013
11.9,1075,703,1156,1010
11.4,1157,830,1030,1083
11.3,1314,966,897,1235
12.4,1797,1451,652,1680
14.8,1961,1701,537,2184
17.4,1771,1470,622,1973
19.8,1564,1300,710,1798
22,1430,1120,831,1522
23.3,1417,1146,830,1404
23.9,1400,1162,838,1263
24.4,1317,1053,926,1137
24.4,1318,1033,950,1068
23.8,1445,1141,857,1252
22.5,1917,1601,631,1843
20.4,2040,1754,542,2122
18.3,1895,1573,565,1992
16.7,1595,1294,678,1707
15.7,1439,1159,764,1494
15.3,1142,852,1008,1164
14.1,1304,1019,852,1272
14.8,1074,784,1098,1040
14.8,968,640,1320,867
13.6,929,608,1376,826
12.3,941,626,1316,840
12.8,937,585,1412,793
11.2,1017,681,1246,870
11,1171,770,1162,930
11.7,1541,1185,770,1407
13.6,1539,1287,698,1507
17.8,1735,1431,628,1843
21.4,1571,1297,730,1729
24.4,1452,1250,776,1583
25.3,1579,1359,724,1671
25.8,1466,1309,773,1491
27,1280,1136,893,1240
28.2,1407,1197,905,1313
28,1389,1173,898,1363
23.9,1447,1235,859,1296
21.3,1551,1271,800,1432
20.4,1474,1173,854,1432
19,1800,1426,700,2034
17.9,1379,1101,818,1602
16.7,1201,943,935,1362
15.5,1205,925,922,1314
15.5,1072,784,1066,1114
14.1,998,714,1169,992
13.1,933,625,1292,884
12.7,883,577,1396,808
